recid,ite,ite_reweighed
305396,-0.175949810427413,-0.155569653790742
305397,-0.169386319259201,-0.293513593301436
305398,-0.125335609681069,-0.107440129204542
305400,-0.175949810427413,-0.157231772068369
305401,0.162338980275193,0.143535357593196
305403,0.0585389814231558,0.0867130650150776
305404,0.00386832793842488,0.00352223247162738
305406,0.141723162114054,0.125307456772215
305407,-0.316930889007577,-0.280220982101263
305408,0.221808514187829,0.190138584586208
305409,-0.131974419600392,-0.116687905014465
305410,0.0108347961827144,0.00986541770648337
305411,-0.118524642616351,-0.107920360309816
305416,0.0265823113090738,0.0235032987944954
305420,0.251720818200337,0.220793756390773
305427,-0.259301284586357,-0.237126514586751
305431,-0.110535991321274,-0.100646445728653
305441,-0.142411446540008,-0.12591601764304
305444,0.0274264410702277,0.0235104802195022
305447,0.0291861881331841,0.0258055701925525
305449,0.128224449699427,0.116752335266531
305451,0.0139180013009005,0.0241171931196531
305453,-0.135923274122906,-0.119223393953234
305457,0.14602119460471,0.129107650844198
305459,0.0796712710204814,0.0715965399988625
305462,0.0325755319331625,0.0292739822669243
305463,0.33524341703779,0.28737719577992
305465,0.282584850189871,0.249853223505932
305466,-0.061605186419888,-0.0553614638897252
305467,-0.03149920561881,-0.0288054756556837
305470,0.123490128201044,0.11244158882048
305471,-0.0490592344491743,-0.0433767339672437
305475,-0.138989823275268,-0.132626900049561
305478,0.0708912566052993,0.06267996663416
305482,-0.60195856285338,-0.528000398354858
305485,0.0578180733768112,0.0511210420530059
305487,0.116050227806916,0.101792000799478
305489,0.0166079566977088,0.0246011596697573
305493,-0.135611239296877,-0.123478236119656
305499,0.0336622739134731,0.0302505822968365
305502,-0.0873857189428983,-0.0799127200262129
305504,0.656731262565375,0.600569316734027
305505,-0.156259336922777,-0.133948551342428
305507,-0.175949810427413,-0.157231772068369
305508,0.33524341703779,0.296412381448457
305509,0.398075911429881,0.351967027262747
305511,-0.0401823816397071,-0.0344451212716159
305512,-0.163845011141776,-0.140451139236377
305520,0.51889794803292,0.455144822540939
305523,-0.13326559819086,-0.11975905002057
305524,0.0923786203150036,0.160074207359063
305527,-0.174206719330281,-0.149333397593644
305531,0.0042018824076291,0.00368562841693278
305534,0.303658477001911,0.289757059398323
305536,-0.0198463188398367,-0.0177350113230654
305538,0.00411580383493123,0.00363907284762326
305539,-0.147748318047275,-0.135113266987836
305540,-0.0239624668303971,-0.0211869092653266
305543,-0.121967785524265,-0.111537418410287
305547,0.0445619731813401,0.0425219359508637
305550,-0.596406494914367,-0.532959085552165
305553,-0.175949810427413,-0.260632265544472
305554,0.0948533792800672,0.081310166769605
305555,0.0648011975869254,0.0582335574113508
305557,0.190131599435015,0.166771546143761
305558,0.33524341703779,0.301266295991827
305559,-0.115135298816372,-0.100989482318498
305561,0.288352114560628,0.254952469247083
305564,-0.136891658065757,-0.124644097090293
305565,-0.175949810427413,-0.155569653790742
305566,-0.175949810427413,-0.167894867202469
305568,0.00783870210411385,0.00671948833220631
305570,-0.152891512765973,-0.135182184344311
305572,0.00119989218479109,0.0010524703703017
305576,0.223943822539451,0.20390779068488
305577,0.135116631659493,0.119466156613509
305580,-1.05479641417367,-0.904192059317231
305582,-0.0375677449940094,-0.0358479019758166
305584,0.0584792861709822,0.0866246391805827
305588,-0.401051174176565,-0.354597667183948
305589,0.230491690208726,0.197581972430771
305590,-0.14333192751916,-0.131074554666543
305591,-0.0909902591746213,-0.0813104581143495
305592,0.0190719558411851,0.0171390016972231
305593,-0.074861286615359,-0.129720070249706
305596,0.210596780093933,0.188192899132006
305597,-0.0700408865442786,-0.061928094406133
305599,0.00691335744761182,0.0060639647171157
305605,0.281401269815276,0.251465007025956
305608,0.189098656562641,0.16719547729141
305611,-0.174206719330281,-0.166231574428445
305614,0.2229754385966,0.19558010744841
305616,0.33524341703779,0.3198960478976
305617,-0.0574841747519777,-0.0508258186973208
305621,-0.175949810427413,-0.304886848743844
305622,0.600027002800657,0.539213906796729
305627,-0.159487283398947,-0.276360486732559
305628,-0.0877945921632131,-0.0802866274744378
305629,0.303098966279375,0.275981002164106
305631,-0.135234645541323,-0.123669731138216
305636,0.238981189441053,0.414107986707933
305637,0.343136262405469,0.313792143615222
305638,-0.175949810427413,-0.157231772068369
305639,-0.175949810427413,-0.160903041245663
305643,-0.0147138839427265,-0.0129060986295813
305646,-0.175949810427413,-0.304886848743844
305647,0.246216653225024,0.211061717433063
