,Unnamed: 0,recid,late_Xfit,pred_takeup_prob,education,age,prev_earnings,allocated_trmt,earnings,pred_earnings,counterfac_pred_earnings,pred_pred_itt,pred_actual_itt,doubly_robust_lasso,Rlr1,doubly_robust_ols,Rlr1poly,doubly_robust_polyols,clstrs9,d_rob_ols_Xfit
16,16,300030,-12157.0,0.7366796109573752,17,22,3412,0,24765,28178.368161676888,21377.653061359008,-6800.715100317884,-3387.346938640989,-6800.715100317884,177.58258153423233,177.58258153423233,-11854.654895043423,-11854.654895043423,4,-7372
17,17,300032,-23476.0,0.6753963103794005,14,31,8000,1,29780,25136.08780950441,25583.719184028818,-447.63137452441146,4196.2808159711785,6518.2369112189745,985.4943956811694,7949.396313017534,-3858.2236042754657,27018.431694493032,1,7499
18,18,300033,45551.0,0.6631342848909564,12,28,12300,0,18888,29284.952707122135,29655.120467564888,370.1677604427605,10767.120467564897,370.1677604427605,1850.9683946979385,1850.9683946979385,-3649.21215567732,-3649.21215567732,1,30824
19,19,300035,13721.0,0.6678057420158656,12,29,7751,1,33390,23470.357789120673,23063.65438027897,406.70340884170577,10326.34561972103,15286.166725160696,1531.947796825596,16451.686299721,-188.75074028400195,37426.36903499063,1,16770
20,20,300037,-1724.0,0.6495032228545263,11,26,600,0,12537,10498.8867104171,13001.879831809754,2502.9931213926543,464.8798318097543,2502.9931213926543,1409.8096391572635,1409.8096391572635,-217.00963519858487,-217.00963519858487,4,-1393
21,21,300039,-122378.0,0.6699035881055715,12,28,6634,0,48254,21579.535344039767,21990.465970584086,410.9306265443157,-26263.534029415918,410.9306265443157,1487.8390758427595,1487.8390758427595,580.9113164912343,580.9113164912343,1,-82470
22,22,300040,-67213.0,0.6195716822483386,10,33,0,0,23686,8618.644450850628,11095.826931025069,2477.1824801744424,-12590.173068974931,2477.1824801744424,1432.7307485371787,1432.7307485371787,-1009.8300332693524,-1009.8300332693524,3,-42229
23,23,300048,10291.0,0.6549980516628184,12,33,500,0,10112,11620.681311846514,13243.292826304949,1622.6115144584326,3131.292826304947,1622.6115144584326,957.3215286807208,957.3215286807208,889.6948316214874,889.6948316214874,4,6561
24,24,300052,-44223.0,0.6673419293620962,12,29,8460,0,33570,24058.796430968585,24435.0928838475,376.29645287891617,-9134.9071161525,376.29645287891617,1577.3870285707999,1577.3870285707999,-686.3814071670422,-686.3814071670422,1,-31324
25,25,300054,3443.0,0.6356835225533652,9,23,2500,0,12301,11516.357638539232,14303.465758237959,2787.108119698727,2002.4657582379605,2787.108119698727,2121.4695955950647,2121.4695955950647,3669.0835288720677,3669.0835288720677,3,2398
26,26,300055,-20425.0,0.6735312053374151,12,26,8020,0,27676,23898.234936501343,23964.017146958344,65.78221045700046,-3711.9828530416557,65.78221045700046,1631.6244814337006,1631.6244814337006,-76.18603717512451,-76.18603717512451,1,-13247
27,27,300057,-128209.0,0.6592524099283482,12,29,13000,0,57676,29885.660076982982,30543.09981240853,657.4397354255561,-27132.900187591466,657.4397354255561,1868.3519257826767,1868.3519257826767,-4244.8884263763175,-4244.8884263763175,1,-83558
28,28,300058,25758.0,0.6671942015223211,12,29,4500,1,38018,19012.730516485724,18226.328781442844,786.4017350428802,19791.67121855716,29294.305960314294,1323.593858315504,29887.130699597223,1365.3376363664058,53301.97451729482,1,30085
29,29,300059,-7820.0,0.6122311091014848,9,26,0,1,3366,10714.676738140375,7166.04492235098,3548.631815789397,-3800.044922350981,-7474.383291421171,1878.80994057293,-9217.793958585273,-796.6686027462599,15145.62857674638,3,-9265
30,30,300062,-6752.0,0.604140529263564,9,41,1000,1,4038,11152.72936760392,9943.480033090496,1209.2493345134246,-5905.480033090495,-9462.844716892458,1530.7156549689462,-8340.363294208746,-1699.5601545152676,12463.793682907062,3,-8299
31,9180,300063,,,14,29,4000,0,13892,20472.62088719305,19765.714931772887,-706.9059554201631,5873.714931772887,-706.9059554201631,784.0954540511448,784.0954540511448,-389.4713977049597,-389.4713977049597,4,16381
32,31,300064,5731.0,0.6774628785162438,13,29,2041,0,14598,15753.135828247832,16330.487177654111,577.3513494062809,1732.4871776541113,577.3513494062809,912.2716478262663,912.2716478262663,1288.8260845043114,1288.8260845043114,4,3548
33,32,300066,-10984.0,0.6072235954970795,9,29,0,1,439,10587.371426225764,7445.776977092043,3141.5944491337195,-7006.776977092043,-12080.96269020493,1796.3732465705546,-13234.934162229423,-795.1966702373213,10063.981889441951,3,-13091
34,33,300074,7507.0,0.7141473317637158,15,25,0,1,20609,15096.556562105034,16591.640766253247,-1495.0842041482138,4017.359233746753,6773.580952694236,383.92740239249537,8005.697356240504,198.38709123371518,28468.58742585274,4,7893
35,34,300075,-90114.0,0.6799692682092855,12,22,3500,0,37644,17089.218394313357,17887.79878979464,798.5803954812835,-19756.20121020536,798.5803954812835,1451.8569599131479,1451.8569599131479,1109.464318003018,1109.464318003018,4,-60994
36,35,300076,-16029.0,0.6630314134870775,10,22,5200,1,21219,18794.194027350488,17312.488290761125,1481.7057365893634,3906.511709238876,5118.914695563632,2068.262385466991,5258.151825825773,4560.4143065813505,32871.06698307435,3,5450
37,36,300077,30401.0,0.6546909114866283,12,48,4500,0,9747,15977.4538135459,17401.971702016985,1424.5178884710806,7654.971702016985,1424.5178884710806,801.4947963004432,801.4947963004432,49.89532622428396,49.89532622428396,2,19771
38,37,300078,40127.0,0.6186750197629779,10,50,154,0,0,9212.877211416851,9647.029925201032,434.1527137841804,9647.029925201032,434.1527137841804,975.4592169225232,975.4592169225232,-3583.9759362131877,-3583.9759362131877,2,26110
39,38,300081,8590.0,0.6561132972141104,11,33,10000,1,31196,25597.134048275773,24653.343242882518,943.7908053932553,6542.656757117482,9342.089732979595,1819.8956865860016,10585.843918977138,-1794.4056907716806,29686.33194616861,1,9842
40,39,300082,-36000.0,0.6792775590558168,13,24,10000,0,34728,28463.337762162115,27426.094620075484,-1037.2431420866271,-7301.905379924517,-1037.2431420866271,1559.751956532724,1559.751956532724,-4047.410365003241,-4047.410365003241,1,-23716
41,40,300084,52182.0,0.6404855764183919,11,30,0,0,126,9551.001932379233,11987.057911322812,2436.0559789435792,11861.057911322812,2436.0559789435792,1261.4405365093514,1261.4405365093514,-511.0901084855723,-511.0901084855723,4,32412
42,41,300085,-12497.0,0.6243471711606255,10,42,2000,1,1763,13174.09060050715,12038.933334734062,1135.1572657730906,-10275.933334734062,-15981.478634987641,1313.5990353458528,-15045.20424944656,-1113.3751634843393,7595.992280492732,2,-15079
43,42,300091,-4119.0,0.6281164781741171,10,27,30,1,7028,11441.511117543254,8322.851663653119,3118.6594538901354,-1294.8516636531185,-3501.607222424745,1599.5268120741712,-5079.687645942448,-1073.792851075268,19731.506037776417,3,-4753
44,43,300092,-10626.0,0.6719106850001595,12,22,0,1,4506,13016.842962932295,10821.732125405631,2195.110837526663,-6315.732125405633,-10571.15360687178,1227.5448144854872,-12263.884730254209,-1789.3072687656675,11991.873567003755,4,-11978
45,44,300095,-16608.0,0.6861551295866273,14,33,1200,1,2203,15668.18883876799,15636.84596180901,31.342876958980927,-13433.84596180901,-20166.440381193,494.73014570584564,-19585.09259774012,2049.738838746347,4077.873059885907,4,-19529
46,45,300096,56555.0,0.6725612600758581,12,25,2948,0,3765,15987.738297605954,17030.118305535187,1042.3800079292323,13265.118305535188,1042.3800079292323,1334.043036117606,1334.043036117606,1267.7637639937539,1267.7637639937539,4,38031
47,46,300097,-8260.0,0.6588735822551588,12,29,0,1,5475,12760.083489716571,10842.43025846074,1917.6532312558331,-5367.430258460739,-9009.972003319026,1035.1925284799418,-9939.211872090562,124.46911826282305,14535.724869745249,4,-9753
48,47,300098,1693.0,0.6638483885550462,12,26,0,0,12394,10846.900595472856,12887.388801631188,2040.4882061583319,493.3888016311885,2040.4882061583319,1117.6292224823171,1117.6292224823171,-510.37422625300314,-510.37422625300314,4,-666
49,48,300099,-4065.0,0.6496727717461428,12,38,0,1,8372,12190.488917121067,10684.001220234471,1506.4876968865954,-2312.0012202344715,-4221.245678795005,787.8824464728094,-4473.632483023019,647.6404800946258,19955.079679244056,2,-4621
50,49,300101,-1729.0,0.6574240286505838,12,30,0,1,11018,12711.295265819752,10836.03113285728,1875.2641329624716,181.96886714272114,-664.6787657671539,1007.7136304791477,-1500.258606638612,279.6117610186702,22986.53346528501,4,-1659
51,50,300103,40623.0,0.6563376816187944,12,55,0,0,1109,9606.176866250233,10106.983237623745,500.80637137351005,8997.983237623743,500.80637137351005,320.74118045933574,320.74118045933574,-1890.3488781180488,-1890.3488781180488,2,27693
52,51,300104,53042.0,0.6102792115733997,9,38,1800,0,75,11126.983429730413,12530.966128839702,1403.9826991092905,12455.966128839702,1403.9826991092905,1664.4236964976462,1664.4236964976462,-524.7430854430932,-524.7430854430932,3,33380
53,52,300105,-69732.0,0.6560800198913389,12,31,0,0,26944,10827.033117877658,12659.143625491897,1832.1105076142362,-14284.856374508103,1832.1105076142362,980.234732478355,980.234732478355,408.177992669698,408.177992669698,4,-44710
