,recid,education,age,prev_earnings,allocated_trmt,earnings,clstrs9,Rlr1,d_rob_ols_Xfit
141,300310,10,34,130,1,22614,3,1413.5834445094133,19375
142,300316,9,32,5200,1,22636,3,2047.2003114892705,10198
143,300317,12,37,3000,1,22895,2,1007.6288976973083,11310
144,300318,13,31,11475,1,9343,1,1461.931217528836,-29026
145,300320,12,54,8786,1,17181,2,911.3076526679615,-6280
146,300322,12,32,550,1,1611,4,988.004885901908,-16609
147,300325,13,23,0,0,1455,4,946.3390104544887,36689
148,300326,15,24,0,1,14757,4,411.4063003932879,-1031
149,300327,10,38,3792,1,0,3,1538.3624458079848,-21539
150,300330,8,26,300,1,11636,3,2151.763601925504,3572
151,300331,12,34,200,1,201,2,910.6158753575583,-17846
152,300332,12,28,0,1,17739,4,1062.6714264807342,8229
153,300333,14,39,2800,0,8284,2,432.3994527537325,25672
154,300336,12,28,5400,1,31312,1,1408.7530222834066,18191
155,300337,12,35,1400,1,17038,2,960.0439986462479,5212
156,300340,11,37,0,1,325,2,1069.0882505038044,-15067
157,300343,12,31,15000,1,17160,1,1941.5724985968918,-21403
158,300344,12,34,3800,1,19329,1,1141.3369392260065,3747
159,300345,10,48,7500,0,15841,1,1501.216161584558,9556
160,300346,12,34,2100,0,7551,4,1032.3853257325718,21042
161,300353,10,40,3900,0,1956,2,1490.3262817224513,38031
162,300355,13,24,5000,1,0,1,1239.3060344932092,-29767
163,300356,9,23,98,1,4446,3,1967.527374647283,-8292
164,300359,8,27,5915,1,9449,3,2484.1454743750874,-10381
165,300360,13,37,1300,1,31774,2,644.9503781736676,26512
166,300362,12,28,0,1,27546,4,1062.6714264807342,23216
167,300363,8,27,400,1,1440,3,2130.693622365501,-11806
168,300366,12,24,300,1,14295,4,1191.8137738062742,2028
169,300372,11,32,3235,1,7898,4,1413.8112520673312,-10867
170,300373,12,60,7000,0,34745,2,631.9709813106929,-47407
171,300375,14,31,4000,0,3779,1,729.1376580495562,46485
172,300376,11,27,150,1,247,4,1353.4906081729168,-16674
173,300380,12,23,2808,0,22289,4,1380.028346302086,-17591
174,300381,12,36,6000,1,8550,1,1227.3753489218107,-16244
175,300383,12,24,0,1,700,4,1172.5870184839023,-17892
176,300384,11,46,2160,0,16977,2,960.2108068177422,-13333
177,300385,8,30,1000,1,19416,3,2086.7104390078657,14788
178,300387,12,41,3593,1,35986,2,935.7181920480234,30067
179,300390,12,27,300,1,7591,4,1109.3770798038986,-7707
180,300391,11,26,600,1,21561,4,1409.8096391572635,13955
181,300392,12,29,3000,1,4968,4,1227.4600817036498,-16627
182,300393,14,42,2000,0,13367,2,298.69141122503606,6449
183,300394,12,28,8125,1,15471,1,1583.3960497949447,-11626
184,300395,11,34,400,1,6489,2,1177.160618269343,-7018
185,300398,12,27,0,0,337,4,1090.1503244815267,35467
186,300403,12,37,0,1,62715,2,815.3613444736002,77199
187,300404,12,32,0,1,0,4,952.7558344775625,-17978
188,300407,16,25,3500,1,56963,4,354.51264178994825,53714
189,300408,12,31,200,1,4998,4,993.0525693599357,-10878
190,300411,17,35,1440,1,0,2,-306.026964128454,-27101
191,300412,13,28,1300,1,22951,4,892.2604601808016,11950
192,300415,15,48,12500,1,43748,1,553.0275534730499,21301
193,300418,11,37,1000,0,79720,2,1133.1774349117077,-203500
194,300420,12,28,3400,1,5130,4,1280.5746534676055,-17241
195,300421,9,30,0,1,2613,3,1768.89434856976,-9710
196,300424,11,25,7143,0,9755,1,1856.6240707389625,33206
197,300426,8,25,0,0,0,3,2160.0157446039257,25003
198,300429,12,33,3380,1,14529,4,1141.8983797754809,-2567
199,300433,8,34,9,0,12773,3,1913.282465256464,-14586
200,300434,12,27,8386,0,24807,1,1627.6022249261987,-5187
201,300436,10,22,0,1,2115,3,1734.9986265458956,-12800
202,300437,11,34,3000,0,0,4,1343.7924977298899,44007
203,300440,14,27,8000,1,28249,1,1095.409987684343,5470
204,300444,12,26,800,0,447,4,1168.90057000864,39213
205,300446,13,31,0,0,960,4,726.507826448149,35951
206,300451,16,30,0,1,375,4,-7.193993641672932,-23458
207,300454,9,28,0,1,2359,3,1823.8521445713468,-10524
208,300456,12,29,4800,0,22530,1,1342.8206136378758,-11715
209,300458,12,37,0,1,13280,2,815.3613444736002,2477
210,300460,16,40,16700,0,690,1,788.3064059623794,112004
211,300462,10,46,4000,1,1215,2,1331.8618121584877,-19364
212,300463,13,23,500,0,395,4,978.3836026584395,41450
213,300465,9,51,0,1,0,2,1191.8374905531182,-11102
214,300466,9,33,12000,1,39360,1,2455.527867462217,21418
